unicode_cp,unicode,kEH_AltSeq,kEH_Cat,kEH_Core,kEH_Desc,kEH_FVal,kEH_Func,kEH_HG,kEH_IFAO,kEH_JSesh,kEH_NoMirror,kEH_NoRotate,kEH_UniK
13B00,U+13B00,,E-20-046,C,"A baboon, standing on it hind legs, tail down, arms raised in front, forearms nearly vertical, hand palms outwards.",nfr,Logogram (to be good),E51,"139,10",E51,,,HJ E051
13B01,U+13B01,,E-20-047,C,"A monkey, standing on its hind legs, tail down, arms raised in front, forearms nearly vertical, hand palms outwards.",nfr,Logogram (to be good),,"139,12",,,,E051B
13B02,U+13B02,,E-20-048,C,"A hamadryas baboon (Papio hamadryas), standing on its hind legs, tail down, arms raised in front, forearms nearly vertical, hand palms outwards.",bꜣ.w-ꞽꜣb.tyw,Classifier baboon,E51A,"139,13",E51A,,,HJ E051A
13B03,U+13B03,,E-20-050,C,"A baboon, standing on its hind legs, tail down, arms downwards, hands at the height of the waist, hand palms downwards.",nfr,Phonemogram,E53,"139,15",E53,,,HJ E053
13B04,U+13B04,,E-20-052,,,,,E54,"139,16",E54,,,HJ E054
13B05,U+13B05,,E-20-054,C,"A baboon, standing on its hind legs, tail down, arms extended forwards, holding a knife with a triangular blade and straight handle (T30A), blade facing outwards.",ꞽwf,Classifier monkey,E57,"140,2",E57,,,HJ E057
13B06,U+13B06,,E-20-056,,,,,E58A,"140,4",E58A,,,HJ E058A
13B07,U+13B07,,E-20-057,C,"A baboon, standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding the face of a human man (D2), with the right arm angling over it.",nfr(.t)-ḥr,Logogram/phonemogram (beautiful of face),E58,"140,5",E58,,,HJ E058
13B08,U+13B08,,E-20-059,C,"A baboon, standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding a palm branch, stripped of leaves and notched with a sharp notch (M4B), with the notch inwards, right hand between the head and the palm branch, hand palm outwards.",rnp.t-nfr.t,Logogram (good year),E60,"140,9",E60,,,HJ E060
13B09,U+13B09,,E-20-060,,,,,E61,"140,10",E61,,,HJ E061
13B0A,U+13B0A,,E-20-061,C,"A baboon, standing on its hind legs, tail down, arms extended forwards, holding a palm branch, stripped of leaves, with multiple sharp notches (M4A), on top of a half round loaf of bread (X1), with the curve outwards.",wp-rnp.t,Logogram (New Year's Day),,,,,,E061A
13B0B,U+13B0B,,E-20-063,,"A baboon, standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding a windpipe and heart, with a single horizontal stroke at the top (F35), with the right arm angled upwards with the hand near the tops stroke.",nfr,Phonemogram,E63,,E63,,,HJ E063
13B0C,U+13B0C,,E-20-064,C,"Two baboons, standing on their hind legs, tail down, facing each other, arms extended forwards, left forearm horizontal, holding the same windpipe and heart, with a single horizontal stroke at the top (F35), with the right arm angled upwards with the hand near the tops stroke.",nfr.w,Phonemogram,,,,,,E063B
13B0D,U+13B0D,,E-20-065,C,"A baboon, wearing the white crown (S1), standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding a windpipe and heart, with a single horizontal stroke at the top (F35), with the right arm angled upwards with the hand near the tops stroke.",nfr.w,Phonemogram,E63A,"140,12",E63A,,,HJ E063A
13B0E,U+13B0E,,E-20-066,C,"A baboon, standing on its hind legs, tail down, arms extended forwards, forearm horizontal, hand horizontal, hand palm upwards, holding a windpipe and heart, with a single horizontal stroke at the top (F35).",nfr,Phonemogram,,,,,,E063C
13B0F,U+13B0F,,E-20-069,C,"A baboon, standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding a lotus flower with a bud at either side, with a long vertical stem, with the right hand above the flower.",nḫb nfr,Logogram/phonemogram (the beautiful lotus flower),E66,"140,16",E66,,,HJ E066
13B10,U+13B10,,E-20-070,,,,,E67,"141,1",E67,,,HJ E067
13B11,U+13B11,,E-20-072,C,"A baboon, standing on its hind legs, tail down, right arm extended forwards, forearm horizontal, hand palm upwards, holding a column imitating a bundle of stalks tied together (R11), with a folded piece of cloth, short section outwards below the right hand; left arm extended backwards, hand at the height of the shoulder, hand palm upwards, supporting a quail chick (G43).",ḏd + s + r,Phonemogram,E68,"141,2",E68,,,HJ E068
13B12,U+13B12,,E-20-076,C,"A baboon, dancing, right leg vertical, left leg raised, left knee in front of the right leg, left foot behind the right leg, right arm extended forwards and downwards, holding an ornamental chevaux de frise on top of walls, with a circle dividing the top and base (Aa30), of nearly the size of the baboon near the base of the ornament. ",sẖkr | ꞽmꜣ,Logogram (to adorn) or Logogram (to be friendly),,,,,,E070A
13B13,U+13B13,,E-20-078,C,"A baboon, seated on a block, tail down, arms extended forward.",,?,E248,,E248,,,HJ E248
13B14,U+13B14,,E-21-001,C,A mouse.,pnw,Classifier mouse,E130,"141,3",E130,,,HJ E130
13B15,U+13B15,,E-22-001,C," A lion, lying down, with the face of a man, with a long, curved beard and coif.",nb,Logogram (lord),E151A,"141,4",E151A,,,HJ E151A
13B16,U+13B16,,E-22-003,C," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead.",nb,Logogram (lord),E151,"141,6",E151,,,HJ E151
13B17,U+13B17,,E-22-006,C," A lion, lying down, with the face of a man, with a long, curved beard and coif, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head. ",rꜥ nb,Logogram rꜥ and nb (in sꜣ-rꜥ nb ḫꜥ.w),E153,"141,10",E153,,,HJ E153
13B18,U+13B18,,E-22-008,C,"A lion, lying down, with the face of a man, with a long, curved beard and coif, with the sun, with a cobra (Naja haje), standing up, with expanded hood (uraeus) at either side (N6B), on its head.",n(.y)-sw.t-bꞽ.ty-nb,"Logogram (king of Upper Egypt and Lower Egypt, lord)",E156,,E156,,,HJ E156
13B19,U+13B19,,E-22-009,C,"A lion, lying down, with the face of a man, with a long, curved beard and coif, wearing the double crown (S6) and with uraeus on the forehead.",nb-tꜣ.wy,Logogram (lord of the two lands),E154,"141,11",E154,,,HJ E154
13B1A,U+13B1A,,E-22-012,C," A lion, lying down, with the face of a man, with a long, curved beard and coif (E151A), with a tie or strap, used with sandals (ankh sign, S34) on its front paw.",šsp-ꜥnḫ,Logogram (living image),E157A,"141,13",E157A,,,HJ E157A
13B1B,U+13B1B,,E-22-013,C," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead (E151), with a tie or strap, used with sandals (ankh sign, S34) on its front paw.",šsp-ꜥnḫ,Logogram (living image),E157,"141,14",E157,,,HJ E157
13B1C,U+13B1C,,E-22-015,C," A lion, lying down, with the face of a man, with a two-barbed harpoon, with a handle on the shaft (T21A), vertically on its front paw, handle inwards.",nb-wꜥ,Logogram (the sole/unique lord),,"142,2",,,,E158A
13B1D,U+13B1D,,E-22-016,C," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead (E151), with a two-barbed harpoon, with a handle on the shaft (T21A), vertically on its front paw, handle outwards.",nb-wꜥ,Logogram (the sole/unique lord),E158,"142,3",E158,,,HJ E158
13B1E,U+13B1E,,E-22-018,C," A lion, lying down, with the face of a man, with a sceptre with a straight shaft, topped with the head of the Seth animal vertically on the front paw.",nb,Logogram (lord),,,,,,E303A
13B1F,U+13B1F,,E-22-019,,,,,E159,"142,4",E159,,,HJ E159
13B20,U+13B20,,E-22-024,C," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead (E151), with a vessel on its front paw.",m,Phonemogram,,,,,,E276A
13B21,U+13B21,,E-22-027,C,"A lion, lying down, with the face of a man, with a long, curved beard and coif (E151A), on top of a wickerwork basket (V30).",nb,Logogram (lord),,,,,,E274A
13B22,U+13B22,,E-22-029,C," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead, on top of a base, front paw holding a sealed ointment jar, without ties (W2) in its front paw, with the jar resting on the base.",šms ꜥntyw,Logogram (presenting myrrh),E159B,"142,5",E159B,,,HJ E159B
13B23,U+13B23,,E-22-030,C,"A cult image of a lion, lying down, on a base, with the head of a man, with a long-curved beard and coif, with an uraeus on its forehead, wearing the double crown (S5).",šsp,"Logogram (image, referring to the king)",E154A,,E154A,,,HJ E154A
13B24,U+13B24,,E-22-032,,,,,E162,"142,7",E162,,,HJ E162
13B25,U+13B25,,E-22-033,C," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead (E151), on top of a shrine.",šsp,Logogram (image),E152,,E152,,,HJ E152
13B26,U+13B26,,E-22-036,C,"A lion, standing, tail upwards, with the head of a human man, with a coif or headdress running partly over its back.",nb,Logogram (lord),,,,,,E259B
13B27,U+13B27,,E-22-041,C,The forepart of a sphinx.,ꜣkr,Classifier divinity Aker,C274A,,C274A,,,HJ C274A
13B28,U+13B28,,E-22-042,C,"Two foreparts of sphinxes, connected back-to-back.",ꜣkr,Classifier divinity Aker,C274B,,C274B,,,HJ C274B
13B29,U+13B29,,E-23-003,,,,,E164,"142,12",E164,,,HJ E164
13B2A,U+13B2A,,E-23-004,,,,,E170,"143,3",E170,,,HJ E170
13B2B,U+13B2B,,E-23-007,C,"A bovid (bull), running.",ḥp,Classifier Hapy,E1C,"142,14",E1C,,,HJ E001C
13B2C,U+13B2C,,E-23-009,C,"A bovid (bull), standing, right front leg raised.",nfr,Phonemogram,E219,,E219,,,HJ E219
13B2D,U+13B2D,,E-23-013,C,"Two bovids (oxen), standing, overlapping each other, in front of a plough (U13).",ḥtr,Logogram (yoke of oxen),E167,,E167,,,HJ E167
13B2E,U+13B2E,,E-23-016,C,"A bovid (bull), standing, with the red crown (S3) between the horns.",n-nb,Phonemogram,E169,"143,5",E169,,,HJ E169
13B2F,U+13B2F,,E-23-018,C,"A bovid (bull), standing, with a folded piece of cloth around its neck (V60), with a headdress consisting of a sun disk with two feathers (S76) between its horns.",kꜣ,Classifier bull (specifically in kꜣ-ḥḏ (the (sacred) white bull),E171,"143,7",E171,,,HJ E171
13B30,U+13B30,,E-23-020,C,"A bovid (bull), standing, with a forward, downward line coming from the mouth.",ꞽwꜣ,"Classifier bovid (steer, ox, cattle, male animal)",,,,,,E001F
13B31,U+13B31,,E-23-021,C,"A bovid, standing, with a feather (H6) on its back, angled backwards.",ꜣms,"Classifier glad, pleased",,,,,,E174I
13B32,U+13B32,,E-23-024,C,"A bovid (bull), lying down, legs folded beneath the body, tail downwards.",ꞽwꜣ,"Classifier bovid (steer, ox, cattle, male animal)",E174,"143,10",E174,,,HJ E174
13B33,U+13B33,,E-23-025,C,"A bovid (cow), lying down, legs folded beneath the body, right front leg extended forwards.",ꞽḥ.t,Logogram (cow),E174E,"143,11",E174E,,,HJ E174E
13B34,U+13B34,,E-23-026,C,"A bovid (bull), lying down, legs folded beneath the body, tail upwards.",kꜣ,Logogram (bull),,"143,12",,,,E174H
13B35,U+13B35,,E-23-027,C,"A bovid (bull), lying down, legs folded beneath the body, tail upwards, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade forwards.",smꜣ,Logogram (sacrificial steer),,"143,13",,,,E174G
13B36,U+13B36,,E-23-028,C,"A bovid (bull), lying down, legs folded beneath the body, tail downwards, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade forwards.",smꜣ,Logogram (sacrificial steer),E174A,"143,14",E174A,,,HJ E174A
13B37,U+13B37,,E-23-029,C,"A bovid (bull), lying down, legs folded beneath the body, tail downwards, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade backwards.",tbh,Classifier (Seth),E174D,,E174D,,,HJ E174D
13B38,U+13B38,,E-23-030,C,"A bovid (bull), lying down, legs folded beneath the body, tail upwards, head looking backwards, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade forwards. ",smꜣ,Logogram (sacrificial steer),E175,"143,15",E175,,,HJ E175
13B39,U+13B39,,E-23-032,C,"A bovid (bull), legs bound together, tail downwards.",ḫr,Classifier (to fall),E176,,E176,,,HJ E176
13B3A,U+13B3A,,E-23-033,,,,,E174C,"144,1",E174C,,,HJ E174C
13B3B,U+13B3B,,E-23-035,C,"A butchered bovid without head or legs, tail coiling upwards, with a knife with a triangular blade and a straight handle (T30A) angled at the top, blade backwards, and a knife angled at the bottom, blade backwards.",sꞽd-tꜣ,Classifier slaughter?,,,,,,E315
13B3C,U+13B3C,,E-23-036,C,"A bull, standing, head lowered, tail down, left front leg bent, with a line running from the left front leg hoof over the head of the bull.",ṯwn,Classifier prepare to attack,E165,,E165,,,HJ E165
13B3D,U+13B3D,,E-23-038,,,,,E199A,,E199A,,,HJ E199A
13B3E,U+13B3E,,E-23-040,C,"A pustule or gland, or a packet of mummy bandages (Aa2), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",ḥsbw,Logogram (11th nome of Lower Egypt),E201,,E201,,,HJ E201
13B3F,U+13B3F,,E-23-042,C,"The hill country over the edge of the cultivated areas (N25) in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",ḫꜣsw.w,Logogram (6th nome of Lower Egypt),,,,,,E207A
13B40,U+13B40,,E-23-043,C,"The hill country over the edge of the cultivated areas (N25) in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12) on top of a parcel of land with irrigation ditches (N24).",ḫꜣsw.w,Logogram (6th nome of Lower Egypt),E207,,E207,,,HJ E207
13B41,U+13B41,,E-23-044,C,"A cover of a quiver, with a vertical loop on top (Aa18A), in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",sꜣkꜣ,Logogram (Cynopolis nome),E209,,E209,,,HJ E209
13B42,U+13B42,,E-23-045,C,"The head of a human man, seen in profile, with a short straight beard, in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",ṯb-nṯr,Logogram (12th nome of Lower Egypt),E210,,E210,,,HJ E210
13B43,U+13B43,,E-23-054,C,"A bovid (bull), standing (E1), on top of a sledge (U15).",nsr-msr,Classifier divinity,E173,,E173,,,HJ E173
13B44,U+13B44,,E-23-056,C,"A cow, looking backwards.",ꜣms,Phonemogram (in ꜣms-ꞽb (to rejoice)),E92A,,E92A,,,HJ E092A
13B45,U+13B45,,E-23-063,C,"A bovid (cow), lying down, legs folded beneath the body, tail down, with the head and front legs of a calf protruding from the cow.",bꜣẖ,Phonemogram,E94A,"144,13",E94A,,,HJ E094A
13B46,U+13B46,,E-23-065,C,"A cult image of a bovid (cow), lying down.",ḥs(ꜣ).t,Classifier cow divinity,E101,"144,14",E101,,,HJ E101
13B47,U+13B47,,E-23-068,C,"A bovid (cow), standing, head facing backwards, looking over its back, with a calf below the cow, suckling.",ꜣms,Phonemogram (in ꜣms-ꞽb),E5B,"144,6",E5B,,,HJ E005B
13B48,U+13B48,,E-23-069,C,"A bovid (cow), standing, tail raised with the head and front legs of a calf protruding from the cow.",wbn,Phonemogram,E94,"144,7",E94,,,HJ E094
13B49,U+13B49,,E-23-073,C,"A bovid, standing, tail down, with the sun disk (N5) between the horns.",nb.t,Logogram (lady),E95,,E95,,,HJ E095
13B4A,U+13B4A,,E-23-076,C,"A bovid, standing, tail down, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)), between the horns, with the uraeus occurring in front of the horns. ",rꜥ nb,Logogram (Re and lord (in sꜣ-rꜥ nb ḫꜥ.w)),,,,,,E095C
13B4B,U+13B4B,,E-23-079,,,,,E97,"144,9",E97,,,HJ E097
13B4C,U+13B4C,,E-23-081,C,"A bovid (bull?), standing, with a headdress consisting of a base with multiple plumes coming from it between the horns.",wnḏw,Logogram (cattle),E255,,E255,,,HJ E255
13B4D,U+13B4D,,E-23-083,C,"A bovid, standing, tail down, with the double crown (S5) between the horns.",n(.y)-sw.t bꞽ.ty nb,"Logogram (king of Upper Egypt and Lower Egypt, lord)",,,,,,E280A
13B4E,U+13B4E,,E-23-084,C,"A bovid (cow), lying down, legs folded beneath the body, with a flagellum (S45) on its back.",ḥs(ꜣ).t,Classifier cow divinity,E100A,,E100A,,,HJ E100A
13B4F,U+13B4F,,E-23-087,C,"A bovid, lying down, legs folded beneath the body, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)), between the horns, with the uraeus occurring in front of the horns. ",rꜥ nb,Logogram (Re and lord (in sꜣ-rꜥ nb ḫꜥ.w)),,,,,,E102D
13B50,U+13B50,,E-23-089,C,"A cult image of a bovid (cow), lying down, with a flagellum (S45) on its back.",ꞽh.t,Classifier cow divinity,E101A,,E101A,,,HJ E101A
13B51,U+13B51,,E-23-090,C,"A cult image of a bovid (cow), lying down, with a sun disk (N5) between the horns, with a flagellum (S45) on its back.",ḥs(ꜣ).t,Classifier cow divinity,E102A,"145,3",E102A,,,HJ E102A
13B52,U+13B52,,E-23-092,,,,,E4,,,,,E004B
13B53,U+13B53,,E-23-094,C,"A bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",wr,Phonemogram (in km-wr),,,,,,E099A
13B54,U+13B54,,E-23-095,C,"A piece of crocodile skin with horizontal spines, or tail of a crocodile (I6), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",km-wr,Logogram (10th nome of Lower Egypt),E290,,E290,,,HJ E290
13B55,U+13B55,,E-23-096,,,,,E291,,E291,,,HJ E291
13B56,U+13B56,,E-23-097,C,"A newborn bubalis antelope, lying down, legs folded beneath the body, long tail downwards (E9), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",ṯb-nṯr,Logogram (12th nome of Lower Egypt),E254,,E254,,,HJ E254
13B57,U+13B57,,E-25-002,C,"A bovid (bull), standing, without horns.",kꜣ,Classifier (bull),E1A,,E1A,,,HJ E001A
13B58,U+13B58,,E-25-008,C,"A bovid (bull), without horns, legs bound together, tail downwards.",kꜥ/ꞽḥ,"Logogram (bull, beef)",,,,,,E268A
13B59,U+13B59,,E-26-001,C,Some type of mouse-like animal.,ꜣš-ssf,classifier divinity (Ash-spitter),E83,,E83,,,HJ E083
13B5A,U+13B5A,,E-26-002,C,"A mythological animal with the head of a crocodile, the foreparts of a lion, and the hindquarters of a hippopotamus.",ꜥmm.t,Classifier Ammet,E178,,E178,,,HJ E178
13B5B,U+13B5B,,E-26-003,C,A rhinoceros.,šḳb,Classifier rhinoceros,E131,,E131,,,HJ E131
13B5C,U+13B5C,,F-01-002,C,"The head of a donkey/ass, with the ears in a v shape.",hrw,Phonemogram,F53,"146,2",F53,,,F053C
13B5D,U+13B5D,,F-01-004,C,"The head of a donkey/ass, with the ears angled backwards.",sš,Phonemogram,,,,,,F053D
13B5E,U+13B5E,,F-01-005,,,,,F55,"146,5",F55,,,HJ F055
13B5F,U+13B5F,,F-01-007,C,"The forepart of a donkey, ears in a V-shape, lower leg bent backwards.",hrw,Phonemogram,F54,"146,4",F54,,,HJ F054
13B60,U+13B60,,F-02-001,C,"The head of a ram, without horns or forward curving horns.",šf.yt,"Logogram (worth, dignity, renown)",F7B,,F7B,,,HJ F007B
13B61,U+13B61,,F-02-002,C,"The head of a ram, without horns or forward curving horns, with the neck curving downwards.",rhny,Classifier ram,,,,,,F007D
13B62,U+13B62,,F-02-003,C,"The head of a ram (Ovis longipes palaeo-aegyptiacus), without beard.",šf.yt,"Classifier worth, dignity, renown",F7C,"146,6",F7C,,,HJ F007C
13B63,U+13B63,,F-02-006,C,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with a sun disk (N5) on top of the horns.",šf.y,"Classifier worth, dignity, renown",F7A,,F7A,,,HJ F007A
13B64,U+13B64,,F-02-007,C,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with two feather-like plumes (S78) on top of the horns.",šf.yt,"Logogram (worth, dignity, renown)",F164,,F164,,,HJ F164
13B65,U+13B65,,F-02-008,C,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with the Atef crown (S8A) on top of the horns.",ꜣtf,Classifier (Atef crown),,,,,,F164A
13B66,U+13B66,,F-02-010,C,"The forepart of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with a second head looking backwards.",šf.yt,"Logogram (worth, dignity, renown)",F170,,F170,,,HJ F170
13B67,U+13B67,,F-02-011,C,"The forepart of a lion with the head of a ram (Ovis longipes palaeo-aegyptiacus), with beard.",šf.yt,"Logogram (worth, dignity, renown)",F8A,"146,9",F8A,,,HJ F008A
13B68,U+13B68,,F-02-012,C,"The forepart of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with a uraeus on top of the horns.",šf.yt,"Classifier worth, dignity, renown",F8B,,F8B,,,HJ F008B
13B69,U+13B69,,F-02-017,C,"Four heads of rams (Ovis longipes palaeo-aegyptiacus) with necks, connected two-by-two to each other, forming a cross-shape.",ẖnmwy,Logogram (the eight primordial gods),F58,"147,2",F58,,,HJ F058
13B6A,U+13B6A,,F-03-003,C,"The head of a bovid (ox) with outwards curving horns, with a short vertical stroke under the chin (beard?).",kꜣ,Logogram (bull),,,,,,F001D
13B6B,U+13B6B,,F-03-005,C,"A head of a bovid (ox), as seen from the front.",smꜣ,Phonemogram,F1A,,F1A,,,F001C
13B6C,U+13B6C,,F-03-006,C,"The head of a bovid (bull), angled forward as if to attack with a cobra (Naja haje), standing up, with expanded hood (uraeus), between its horns.",ḏnd,Classifier rage/aggression,F2A,,F2A,,,HJ F002A
13B6D,U+13B6D,,F-03-007,C,"The head of a bovid (ox), with a forward, downward line coming from the mouth.",šsmw,Phonemogram,F61,"147,8",F61,,,HJ F061
13B6E,U+13B6E,,F-03-008,C,"The head of a bovid (ox), with a rope around the nose, angling downwards and backwards.",kꜣ,Logogram (bull),,,,,,F061A
13B6F,U+13B6F,,F-03-009,C,The forepart of a bovid (ox).,ḫtn,Classifier,F2B,,F2B,,,HJ F002B
13B70,U+13B70,,F-03-011,C,"The head of a bovid (ox), connected to a foreleg of a bovid (ox), hoof orientated away from the reading direction (F24).",msḫt.yw,Classifier Ursa Major constellation,F116,"148,4",F116,,,HJ F116
13B71,U+13B71,,F-03-015,C,"The head of a bovid (cow), without horns, with an ear, with a short vertical line under the chin (beard?).",kꜣ,Logogram (bull),,,,,,F063C
13B72,U+13B72,,F-03-016,C,"The head of a bovid (cow), without horns, without an ear.",fnḏ,Classifier nose,F63A,"147,14",F63A,,,HJ F063A
13B73,U+13B73,,F-03-017,C,"Two heads of a bovid (cow), without horns, without an ear, facing each other.",sn,Classifier kissing,,,,,,F063B
13B74,U+13B74,,F-03-019,C,"The foreparts of a bovid, connected at the back, standing.",ḫns,Classifier double doors,E177,"148,3",E177,,,HJ E177
13B75,U+13B75,,F-03-021,C,"Two foreparts of a bovid, connected at the back, lying down, legs extended forwards, horizontally.",ḫns,Logogram (double doors),,,,,,E177B
13B76,U+13B76,,F-04-001,C,"The head of a jackal, with a loop of rope around the neck, ties at the front.",stꜣ,Phonemogram,F67A,"148,5",F67A,,,HJ F067A
13B77,U+13B77,,F-04-005,C,"The head of a jackal, looking backwards, with the neck curving towards the back, over a horizontal line.",stꜣ,Phonemogram,,"148,8",,,,F067M
13B78,U+13B78,,F-04-006,C,"The head of a jackal, neck curving forwards, with line of string around the neck, with a loop above ties at the back.",stꜣ,Phonemogram,F67B,"148,10",F67B,,,HJ F067B
13B79,U+13B79,,F-04-008,C,"The head of a jackal, looking backwards, with the neck curving towards the back, written over a band of string or fabric (V12).",stꜣ,Phonemogram,F67D,,F67D,,,HJ F067D
13B7A,U+13B7A,,F-04-010,,,,,F68A,"148,9",F68A,,,HJ F068A
13B7B,U+13B7B,,F-04-011,C,"A mace (T3) written horizontally over the neck of a head of a jackal, looking backwards, with the neck curving towards the back, with the mace head towards the back.",stꜣ,Phonemogram,,,,,,F068C
13B7C,U+13B7C,,F-04-012,C,"A mace (T3), written over the neck of a head of a jackal, neck curving forwards, mace head towards the back.",stꜣ,Phonemogram,F68B,,F68B,,,HJ F068B
13B7D,U+13B7D,,F-04-013,C,The head of a jackal.,sꜣb,Logogram (jackal),F69,"148,12",F69,,,HJ F069
13B7E,U+13B7E,,F-04-014,,,,,F71,"149,4",F71,,,HJ F071
13B7F,U+13B7F,,F-04-015,C,"The head of a jackal on a cup-like base, with two arms, raised in front, hand palms forwards.",psḏ.t,Logogram (Ennead),F70,"148,14",F70,,,HJ F070
13B80,U+13B80,,F-04-019,,,,,F70C,,F70C,,,HJ F070C
13B81,U+13B81,,F-05-002,C,"The head and neck of a canine animal, with a forked end to the neck.",wsr,Phonemogram,F12A,"150,2",F12A,,,HJ F012A
13B82,U+13B82,,F-05-005,C,"The head and neck of a long-necked horned animal, with a forked end to the neck.",ḥt.yt,Logogram (throat),F11A,"150,10",F11A,,,HJ F011A
13B83,U+13B83,,F-05-006,C,"The head and neck of a long-necked horned animal, with a horizontal line written over the neck, near the bottom.",ḥt.yt,Logogram (throat),,,,,,F011B
13B84,U+13B84,,F-05-007,,,,,F66,"150,13",F66,,,HJ F066
13B85,U+13B85,,F-05-010,C,"The head and neck of a canine animal, on top of a stick.",wsr,Phonemogram,,"149,8",,,,F012B
13B86,U+13B86,,F-05-032,C,"The head of a canine, on top of legs in a walking posture, feet orientated towards the reading direction (D54).",wsr,Phonemogram,F78,"150,7",F78,,,HJ F078
13B87,U+13B87,,F-06-001,C,The head of an antelope.,gḥs,Logogram (gazelle),F81,"151,1",F81,,,HJ F081
13B88,U+13B88,,F-06-002,C,"A mouth (D21), written over the neck of the head of an antelope (F81).",šsr,Phonemogram,F82,"151,2",F82,,,HJ F082
13B89,U+13B89,,F-06-003,C,"A representation of two ribs, written parallel (Aa15), written over the neck of the head of an antelope (F81).",šsm,Phonemogram,F83,"151,3",F83,,,HJ F083
13B8A,U+13B8A,,F-06-006,C,The head of an oryx.,mꜣ,Logogram (antilope),F85,"151,6",F85,,,HJ F085
13B8B,U+13B8B,,F-06-010,C,"A mouth (D21), written over the neck of the head of a bubalis antelope.",šsr,Phonemogram,F86,"151,11",F86,,,HJ F086
13B8C,U+13B8C,,F-06-012,C,The head of a Nubian ibex (Capra nubiana).,n(ꞽ)ꜣw,Logogram (ibex),F88,"151,15",F88,,,HJ F088
13B8D,U+13B8D,,F-06-014,,,,,F89,"152,2",F89,,,HJ F089
13B8E,U+13B8E,,F-06-015,C,The head of a gazelle.,dn,Phonemogram,F84,"152,3",F84,,,HJ F084
13B8F,U+13B8F,,F-07-004,C,A simplified head of a hippopotamus.,ꜣt,Phonemogram,F3A,"152,8",F3A,,,HJ F003A
13B90,U+13B90,,F-08-002,C,Head of a lion/lioness,pꜣḫt,Phonemogram,F154,,F154,,,HJ F154
13B91,U+13B91,,F-08-010,C,"The forepart of a lion, lying down (F4), wearing a headdress consisting of two feathers on top of the horns of a ram, with a cobra (Naja haje), standing up, with expanded hood (uraeus), with sun disks its head on either side of the feathers, orientated outwards (S74).",ṯnꞽ ḥꜣ.t,"Logogram (to distinguish) and (beginning, front)",F92,"153,4",F92,,,HJ F092
13B92,U+13B92,,F-08-011,C,"The forepart of a lion, standing.",ḥꜣ.t,"Logogram (beginning, front)",F4A,"153,5",F4A,,,HJ F004A
13B93,U+13B93,,F-08-014,C,"Two foreparts of lions, lying down, connected back-to-back.",hꜣkr,Classifier Haker festival,E128,"153,8",E128,,,HJ E128
13B94,U+13B94,,F-08-015,C,"Two foreparts of lions, lying down, connected back-to-back, with a sun disk (N5) on their back.",ḫnsw,Logogram (Khonsu),E129,"153,9",E129,,,HJ E129
13B95,U+13B95,,F-08-016,C,The head of a leopard with a uraeus on top of it.,ꜣ.t,Classifier strength,F90,,F90,,,HJ F090
13B96,U+13B96,,F-08-017,,,,,F93B,,F93B,,,HJ F093B
13B97,U+13B97,,F-09-001,C,"A sledge with the forepart of a donkey/ass, with one leg.",ḫntš,Phonemogram,F97,"153,10",F97,,,HJ F097
13B98,U+13B98,,F-09-002,C,"A sledge with the forepart of a donkey/ass, with one leg and only one ear, angled forwards.",ḫntš,Phonemogram,,"153,11",,,,F097C
