gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
H3,kEH_HG,13181,U+13181,H003,H3,H-05-001,The head of a spoonbill (Platalea leucorodia).,Phonemogram,C
H4,kEH_HG,13182,U+13182,H004,H4,H-06-003,"The head of a griffon vulture (Gyps fulvus), with a backwards curved neck.",Classifier people,C
H5,kEH_HG,13183,U+13183,H005,H5,H-07-005,The fully extended wing of a bird.,Classifier wing,C
H6,kEH_HG,13184,U+13184,H006,H6,H-08-001,A feather.,Phonemogram,C
H6A,kEH_HG,13185,U+13185,H006A,H6A,H-08-003,A feather with tow upwards angled ticks on the front.,Phonemogram,C
H7,kEH_HG,13186,U+13186,H007,H7,H-09-004,"The claw of a bird, with two frontal digits visible.",Classifier claw,C
H8,kEH_HG,13187,U+13187,H008,H8,H-10-001,An egg.,Logogram (son),C
I1,kEH_HG,13188,U+13188,I001,I1,I-01-001,A lizard or gecko.,Phonemogram,C
I2,kEH_HG,13189,U+13189,I002,I2,I-02-001,A freshwater turtle.,Classifier turtle,C
I3,kEH_HG,1318A,U+1318A,I003,I3,I-03-001,A Nile crocodile (Crocodylus niloticus).,Classifier aggression,C
I4,kEH_HG,1318B,U+1318B,I004,I4,I-03-043,A Nile crocodile (Crocodylus niloticus) on top of a shrine.,Classifier Sobek,C
I5,kEH_HG,1318C,U+1318C,I005,I5,I-03-038,"A Nile crocodile (Crocodylus niloticus) with its tail curved forward, below the body.",Logogram (to gather),C
I5A,kEH_HG,1318D,U+1318D,I005A,I5A,I-03-003,A cult image of a crocodile.,Classifier Sobek,C
I6,kEH_JSesh,1318E,U+1318E,I006,I6,I-04-008,"A piece of crocodile skin with horizontal spines, or tail of a crocodile.",Phonemogram,C
I7,kEH_HG,1318F,U+1318F,I007,I7,I-05-001,A frog or toad.,Classifier divinity,C
I8,kEH_HG,13190,U+13190,I008,I8,I-05-004,A tadpole.,Logogram (one hundred thousand),C
I9,kEH_HG,13191,U+13191,I009,I9,I-07-002,A horned desert viper (Cerastes cerastes).,Phonemogram,C
I24,kEH_HG,13192,U+13192,I009A,I24,I-07-009,"A horned desert viper (Cerastes cerastes) (I9), coming out of an open rectangle, with the top line shorter than the bottom line.",Logogram (to go forth),C
I10,kEH_HG,13193,U+13193,I010,I10,I-09-001,A cobra in repose (Naja haje).,Phonemogram,C
I31,kEH_HG,13194,U+13194,I010A,I31,I-09-013,"A cobra in repose (Naja haje) (I10), with a feather (H6) on its back, angling backwards.",Phonemogram,C
I11,kEH_HG,13195,U+13195,I011,I11,I-09-005,"Two cobras in repose (Naja haje), overlapping each other.",Phonemogram,C
,,13196,U+13196,I011A,,I-09-021,A half round loaf of bread (X1) above a strip of land (N17); written below a cobra in repose (Naja haje) (I10).,Logogram (eternity),L
I12,kEH_HG,13197,U+13197,I012,I12,I-11-049,"A cobra (Naja haje), standing up, with expanded hood (uraeus), with a coiled tail.",Classifier female divinity,C
I13,kEH_HG,13198,U+13198,I013,I13,I-11-053,"A cobra (Naja haje), standing up, with expanded hood (uraeus), with a coiled tail (I12), upon a wickerwork basket (V30).",Classifier female divinity (Wadjet),C
I14,kEH_HG,13199,U+13199,I014,I14,I-13-004,"A snake with a coiled tail, consisting of two coils.","Classifier coiling, winding",C
I15,kEH_HG,1319A,U+1319A,I015,I15,I-13-003,"A cobra (Naja haje), standing up, with expanded hood (uraeus), with a coiled tail, consisting of two coils.",Classifier snake/uraeus,C
K1,kEH_HG,1319B,U+1319B,K001,K1,K-01-001,A Nile tilapia (Oreochromis niloticus).,Phonemogram,C
K2,kEH_HG,1319C,U+1319C,K002,K2,K-01-006,A fish (Labeobarbus bynni),Phono-repeater,C
K3,kEH_HG,1319D,U+1319D,K003,K3,K-01-015,A mullet (Mugil cephalus).,Logogram (fish),C
K4,kEH_HG,1319E,U+1319E,K004,K4,K-01-029,A freshwater elephant fish (Mormyrus kannume).,Phonemogram,C
K5,kEH_HG,1319F,U+1319F,K005,K5,K-01-004,"A fish with a long broad fin on its back, and two small fins on its belly.",Phono-repeater,C
K6,kEH_HG,131A0,U+131A0,K006,K6,K-02-008,The scale of a fish.,Logogram (scale),C
K7,kEH_HG,131A1,U+131A1,K007,K7,K-01-008,A fahaka puffer fish (Tetrodon fahaka).,"Classifier rage, anger",C
K13,kEH_HG,131A2,U+131A2,K008,K13,K-01-011,An electric catfish (Malapterurus electricus).,Classifier catfish,C
L1,kEH_HG,131A3,U+131A3,L001,L1,L-01-001,"A dung beetle, scarab (scarabaeus sacer).",Logogram (to become),C
L2,kEH_HG,131A4,U+131A4,L002,L2,L-02-002,A bee.,Logogram (king of Lower Egypt),C
,,131A5,U+131A5,L002A,,L-02-005,"A sedge (M23) written above a half round loaf of bread (X1), in front of a bee (L2) written above a half round loaf of bread (X1).",Logogram (king of Upper Egypt and Lower Egypt),L
L3,kEH_HG,131A6,U+131A6,L003,L3,L-02-007,,,C
L4,kEH_HG,131A7,U+131A7,L004,L4,L-03-001,A common locust.,Classifier locust,C
L5,kEH_HG,131A8,U+131A8,L005,L5,L-05-001,A centipede.,Classifier centipede,C
L6,kEH_HG,131A9,U+131A9,L006,L6,L-07-006,A bivalve shell.,Phonemogram,C
,,131AA,U+131AA,L006A,,L-07-007,,,L
L7,kEH_HG,131AB,U+131AB,L007,L7,L-06-005,A water scorpion (nep cinerea).,Classifier scorpion,C
L8,kEH_JSesh,131AC,U+131AC,L008,L8,L-07-004,"A click beetle (Lanelater Notodonta), without legs.",Logogram/phonemogram (type of beetle),C
M1,kEH_HG,131AD,U+131AD,M001,M1,M-01-001,A tree.,"Classifier tree, product of a tree",C
M1A,kEH_HG,131AE,U+131AE,M001A,M1A,M-01-008,"A branch, horizontally written (M3), written over a tree (M1).",Classifier product of a tree,L
M48,kEH_HG,131AF,U+131AF,M001B,M1E M48,M-01-006,"A horned desert viper (Cerastes cerastes), written over a tree (M1).",Phonemogram,L
M2,kEH_HG,131B0,U+131B0,M002,M2,M-03-001,"A herb, with three flowers or leaves, curving upwards, with the middle flower/leaf higher than the other two.",Phonemogram,C
M3,kEH_HG,131B1,U+131B1,M003,M3,M-04-001,"A branch, horizontally written.",Phonemogram,C
M3A,kEH_JSesh,131B2,U+131B2,M003A,M3A,G-09-025,"A branch, horizontally written (M3), over an owl (G17).",Phonemogram,L
M4,kEH_HG,131B3,U+131B3,M004,M4,M-05-001,"A palm branch, stripped of leaves and notched with a round notch.",Logogram (year),C
M5,kEH_HG,131B4,U+131B4,M005,M5,M-05-024,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a half round loaf of bread (X1).",Logogram (time/season),C
M6,kEH_HG,131B5,U+131B5,M006,M6,M-05-015,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a mouth (D21).",Logogram (time/season),C
M7,kEH_HG,131B6,U+131B6,M007,M7,M-05-025,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a stool made of reed matting (Q3).","Classifier youth, vigour, fresh",C
M8,kEH_HG,131B7,U+131B7,M008,M8,M-06-023,"A pool with lotus flowers, consisting of three flowers and two buds.",Phonemogram,C
M9,kEH_HG,131B8,U+131B8,M009,M9,M-08-025,"A lotus flower, with the flower facing forward, and the stem facing downward.",Classifier lotus flower,C
M10,kEH_HG,131B9,U+131B9,M010,M10,M-07-001,"A lotus bud, with the bud facing forward, and the stem facing downward.",Classifier lotus bud,C
M72,kEH_HG,131BA,U+131BA,M010A,M72,M-07-005,"A lotus bud with a long stalk, folded under itself.",Classifier offering,C
M11,kEH_HG,131BB,U+131BB,M011,M11,M-10-001,"A lotus flower, facing forwards, with a long-twisted stalk, which is folded under itself.",Logogram (to offer),C
M12,kEH_HG,131BC,U+131BC,M012,M12,M-11-002,"A leaf, stem and root of a lotus plant.",Phonemogram,C
,,131BD,U+131BD,M012A,,M-11-041,,\2000,C
,,131BE,U+131BE,M012B,,M-11-043,,\3000,C
,,131BF,U+131BF,M012C,,M-11-044,,\4000,C
,,131C0,U+131C0,M012D,,M-11-046,,\5000,C
,,131C1,U+131C1,M012E,,M-11-047,,\6000,C
,,131C2,U+131C2,M012F,,M-11-048,,\7000,C
,,131C3,U+131C3,M012G,,M-11-049,,\8000,C
,,131C4,U+131C4,M012H,,M-11-050,,\9000,C
M13,kEH_HG,131C5,U+131C5,M013,M13,M-12-006,A stem of papyrus with a bud.,Phonemogram,C
M14,kEH_HG,131C6,U+131C6,M014,M14,M-12-021,"A cobra in repose (Naja haje, I10), written over a stem of papyrus with a bud (M13).",Phonemogram,L
M15,kEH_HG,131C7,U+131C7,M015,M15,M-13-018,"A clump of three papyrus flowers, with two buds bent down.",Logogram (Lower Egypt),C
M139,kEH_HG,131C8,U+131C8,M015A,M139,M-13-021,"Three thin stems of papyrus with a bud, with two buds bent down; on top of a plan of a crossroads in a village (O49).",Logogram (Lower Egypt),C
M16,kEH_HG,131C9,U+131C9,M016,M16,M-13-003,A clump of three papyrus flowers.,Phonemogram,C
M139B,kEH_HG,131CA,U+131CA,M016A,M139B,M-13-009,"Three thin stems of papyrus with a bud, on top of a plan of a crossroads in a village (O49).",Logogram (Lower Egypt),C
M17,kEH_HG,131CB,U+131CB,M017,M17,M-14-001,A flowering reed.,Phonemogram,C
,,131CC,U+131CC,M017A,,M-14-003,"Two flowering reeds, arranged horizontally.",Phonemogram,C
M18,kEH_HG,131CD,U+131CD,M018,M18,M-14-012,"A flowering reed (M17), on top of legs in a walking posture, feet orientated towards the reading direction (D54).",Phonemogram/logogram (to come),C
M19,kEH_HG,131CE,U+131CE,M019,M19,M-14-017,"A flowering reed (M17) and a club used by washermen for beating laundry as part of the cleaning process (U36), connected by a network consisting of four horizontal lines and three lines going from bottom corner to top corner.",Phonemogram,C
M20,kEH_HG,131CF,U+131CF,M020,M20,M-15-001,A field of reeds with three flowering reeds and three stumps.,"Logogram (marshland, country)",C
M21,kEH_HG,131D0,U+131D0,M021,M21,M-15-007,A field of reeds with three flowering reeds and a downward loop at the far end.,"Logogram (herb, plant)",C
M22,kEH_HG,131D1,U+131D1,M022,M22,M-16-002,A rush with two shoots.,Phonemogram,C
,,131D2,U+131D2,M022A,,M-16-005,"Two rushes with two shoots (M22), arranged horizontally.",Phonemogram,C
M23,kEH_HG,131D3,U+131D3,M023,M23,M-16-016,A sedge.,Logogram (king of Upper Egypt),C
M24,kEH_HG,131D4,U+131D4,M024,M24,M-16-026,"A sedge (M23), written on top of a mouth (D21).",Phonemogram,C
M127,kEH_HG,131D5,U+131D5,M024A,M127,M-12-030,A stem of papyrus with a flowering bud.,Logogram (land),C
M25,kEH_HG,131D6,U+131D6,M025,M25,M-16-058,"A desert plant, with four branches, with flowers on every branch (M26A), written on top of a mouth (D21).",Logogram (Upper Egypt),C
M26,kEH_HG,131D7,U+131D7,M026,M26,M-16-046,"A desert plant, with four branches, with flowers on every branch, on a horizontal base.",Logogram (Upper Egypt),C
M27,kEH_HG,131D8,U+131D8,M027,M27,M-16-053,"A forearm, with the palm of the hand facing upwards (D36), written over a desert plant, with four branches, with flowers on every branch, on a horizontal base. (M26).",Logogram (Upper Egypt),L
M28,kEH_HG,131D9,U+131D9,M028,,M-16-056,"A desert plant, with four branches, with flowers on every branch (M26A), written on top of a hobble for cattle without a crossbar (V20).",Logogram (the 10 of Upper Egypt),C
M140B,kEH_HG,131DA,U+131DA,M028A,M140B,M-13-010,"Three thin stems of papyrus with a flowering bud, on top of a plan of a crossroads in a village (O49).",Logogram (Upper Egypt),C
M29,kEH_HG,131DB,U+131DB,M029,M29,M-17-003,A pod of a carob (Ceratonia siliqua) tree.,Logogram (to be sweet),C
M30,kEH_HG,131DC,U+131DC,M030,M30,M-18-001,A root.,Logogram (to be sweet),C
M31,kEH_HG,131DD,U+131DD,M031,M31,M-19-001,"A rhizome of a lotus, resembling vertical lines coming from a vessel.",Classifier growing,C
US1M31AEXTU,kEH_JSesh,131DE,U+131DE,M031A,US1M31AEXTU,M-19-006,"Either a tree growing in a pot, or a rhizome of a lotus, with a leaf coming from it.",Classifier growing,C
M32,kEH_HG,131DF,U+131DF,M032,M32,M-18-012,"A rhizome of a lotus, with two shoots at the bottom.",Classifier growing,C
M33,kEH_HG,131E0,U+131E0,M033,M33,M-20-004,"Three grains of corn, arranged horizontally.","Logogram (grain, barley, corn)",C
M33A,kEH_HG,131E1,U+131E1,M033A,M33A,M-20-005,"Three grains of corn, arranged vertically.","Classifier grain, barley, corn",L
,,131E2,U+131E2,M033B,,M-20-006,"Three grains of corn, arranged in a triangular form, with a single grain at the bottom.","Classifier grain, barley, corn",L
M34,kEH_HG,131E3,U+131E3,M034,M34,M-21-001,An ear of corn.,Logogram (emmer),C
M35,kEH_HG,131E4,U+131E4,M035,M35,M-20-007,A heap of corn.,"Classifier heap, quantity",C
M36,kEH_HG,131E5,U+131E5,M036,M36,M-22-016,"A bundle of flax stems, bound together with string, loop and tie at the back, with the bolls visible on the top, squared at the bottom.",Phonemogram,C
M37,kEH_HG,131E6,U+131E6,M037,M37,M-22-012,"A bundle of flax stems, bound together with string near the top of the bundle.",Phonemogram,C
M38,kEH_HG,131E7,U+131E7,M038,M38,M-22-013,"A bundle of flax stems, bound together with string near the bottom of the bundle.",Classifier flax,C
M39,kEH_HG,131E8,U+131E8,M039,M39,M-23-001,A basket with four pieces of grain or fruit.,Classifier granular product,C
M40,kEH_HG,131E9,U+131E9,M040,M40,M-24-001,"A vertical bundle of reeds, tied together, with the ties at the front",Phonemogram,C
US1M40AEXTU,kEH_JSesh,131EA,U+131EA,M040A,US1M40AEXTU,M-24-004,"A vertical bundle of reeds, tied together, with the ties resembling a triangle.",Phonemogram,C
M41,kEH_HG,131EB,U+131EB,M041,M41,M-25-001,A log of wood.,Classifier wood/timber,C
M42,kEH_HG,131EC,U+131EC,M042,M42,M-08-038,A flower with four petals.,Phonemogram,C
M43,kEH_HG,131ED,U+131ED,M043,M43,M-26-005,"A vine with fruits on two forked supports, with the back of the vine descending down, into a basket or vessel.",Logogram (wine),C
M44,kEH_HG,131EE,U+131EE,M044,M44,M-27-002,A thorn.,Phonemogram,C
N1,kEH_HG,131EF,U+131EF,N001,N1,N-01-001,The sky.,Logogram (sky),C
N2,kEH_HG,131F0,U+131F0,N002,N2,N-01-022,The sky with a sceptre with a forked end hanging from it.,Classifier night,C
N3,kEH_HG,131F1,U+131F1,N003,N3,N-01-023,The sky with a sceptre with a cone at the end hanging from it.,Classifier night,C
N4,kEH_HG,131F2,U+131F2,N004,N4,N-01-028,"The sky, with lines of moisture coming from it.",Classifier storm,C
N5,kEH_HG,131F3,U+131F3,N005,N5,N-02-001,"The sun, within a halo.","Logogram (the sun, Re)",C
N6,kEH_HG,131F4,U+131F4,N006,N6,N-03-003,"The sun within a halo, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus).","Logogram (the sun, Re)",C
N7,kEH_HG,131F5,U+131F5,N007,N7,N-04-015,The sun disk upon a butcher's block.,"Logogram (course (of the day), daily requirements)",C
,,131F6,U+131F6,N008,,N-04-016,"The sun, with three beams of sunlight coming from it.","Classifier light, shining, rising",C
N9,kEH_HG,131F7,U+131F7,N009,N9,N-07-001,"The moon, with one half obscured.",Phonemogram,C
N10,kEH_HG,131F8,U+131F8,N010,N10,N-07-006,"The moon, partly obscured to form a crescent at the top of the circle.",Phonemogram,C
N11,kEH_HG,131F9,U+131F9,N011,N11,N-06-001,A crescent moon.,Logogram (month),C
N12,kEH_HG,131FA,U+131FA,N012,N12,N-06-005, A crescent moon with a part of the moon disc.,Classifier moon,C
N13,kEH_JSesh,131FB,U+131FB,N013,N13,N-08-008,"The back half of a crescent moon (N63A), written over a star (N14).",Logogram (half-month (festival)),C
N14,kEH_HG,131FC,U+131FC,N014,N14,N-08-001,A star.,Logogram (star),C
N15,kEH_HG,131FD,U+131FD,N015,N15,N-08-005,"A star, within a circle.",Classifier (netherworld),C
N16,kEH_HG,131FE,U+131FE,N016,N16,N-09-027,"A strip of land, with three grains of sand written beneath it.",Logogram (land),C
N17,kEH_HG,131FF,U+131FF,N017,N17,N-09-002,A strip of land.,Logogram (land),C
N18,kEH_HG,13200,U+13200,N018,N18,N-09-011,An oval of sand.,Logogram (island),C
,,13201,U+13201,N018A,,N-19-011,"A ripple of water (N35), written within an oval.",Phonemogram,C
,,13202,U+13202,N018B,,N-09-029,,,L
N19,kEH_HG,13203,U+13203,N019,N19,N-09-012,"Two ovals of sand, arranged vertically.",Logogram (horizon-dweller),C
N20,kEH_HG,13204,U+13204,N020,N20,N-10-011,A long tongue of land.,Classifier riverbank,C
N21,kEH_HG,13205,U+13205,N021,N21,N-10-001,A tongue of land.,Logogram (riverbank),C
N22,kEH_HG,13206,U+13206,N022,N22,N-10-015,A tongue of land with a vertical line at the front.,Logogram (riverbank),C
N23,kEH_HG,13207,U+13207,N023,N23,N-11-002,An irrigation canal.,Classifier geographical location,C
N24,kEH_HG,13208,U+13208,N024,N24,N-11-007,A parcel of land with irrigation ditches.,"Logogram (nome, district)",C
N25,kEH_HG,13209,U+13209,N025,N25,N-13-001,The hill country over the edge of the cultivated areas.,"Classifier foreign land, desert",C
,,1320A,U+1320A,N025A,,N-13-002,,,L
N26,kEH_HG,1320B,U+1320B,N026,N26,N-13-014,A sand covered mountain over the edge of the cultivated areas.,Phonemogram,C
N27,kEH_HG,1320C,U+1320C,N027,N27,N-15-002,The sun rising over a sand covered mountain over the edge of the cultivated areas.,Logogram (horizon),C
N28,kEH_HG,1320D,U+1320D,N028,N28,N-16-001,A hill with a halo of sun rays behind it.,Phonemogram,C
N29,kEH_HG,1320E,U+1320E,N029,N29,N-17-001, A sandy hill slope.,Phonemogram,C
N30,kEH_HG,1320F,U+1320F,N030,N30,N-17-004,A hill with shrubs.,"Logogram hill, mound",C
N31,kEH_HG,13210,U+13210,N031,N31,N-18-003,"A road with two shrubs at the top, and one at the bottom.",Logogram (road),C
N32,kEH_HG,13211,U+13211,N032,N32,N-22-001,A lump of clay.,Classifier clay,C
N33,kEH_HG,13212,U+13212,N033,N33,N-14-006,A grain of sand.,"Classifier medicaments, incense, oil",C
N33A,kEH_HG,13213,U+13213,N033A,N33A,N-14-002,Three grains of sand that are horizontally aligned to each other.,"Classifier medicaments, incense, oil",C
N34,kEH_HG,13214,U+13214,N034,N34,N-22-002,An ingot of metal.,Classifier metal objects,C
,,13215,U+13215,N034A,,N-22-003,A slightly less broad ingot of metal.,Logogram (metal),L
N35,kEH_HG,13216,U+13216,N035,N35,N-19-001,A ripple of water.,Phonemogram,C
N35A,kEH_HG,13217,U+13217,N035A,N35A,N-19-002,"Three ripples of water, vertically aligned above one another.",Logogram (water),C
N36,kEH_HG,13218,U+13218,N036,N36,N-20-001,A canal.,Phonemogram,C
N37,kEH_HG,13219,U+13219,N037,N37,N-20-018,A rectangular pool.,Phonemogram,C
N37A,kEH_JSesh,1321A,U+1321A,N037A,N37A,N-20-022,"A rectangular pool, with two diagonal strokes written inside.",Phonemogram,C
N38,kEH_HG,1321B,U+1321B,N038,N38,N-20-019,A rectangular pool with sloping sides.,Phonemogram,C
N39,kEH_HG,1321C,U+1321C,N039,N39,N-20-031,"A rectangular pool, with vertical ripples of water written within it.",Phonemogram,C
N40,kEH_HG,1321D,U+1321D,N040,N40,N-20-033,"A rectangular pool (N37), on top of legs in a walking posture, feet orientated towards the reading direction (D54).",Logogram (to go),C
N41,kEH_HG,1321E,U+1321E,N041,N41,N-21-001,A well with a ripple of water.,Phonemogram,C
N42,kEH_HG,1321F,U+1321F,N042,N42,N-21-004,A well with a straight line of water.,Phonemogram,C
NL1,kEH_JSesh,13220,U+13220,NL001,NL1,O-05-121,"A wall, written vertically, with battlements on the corners, and one in the middle of the long sides (O36), in front of a mace with a pear-shaped head, written vertically (T3); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (Memphis (the white wall; first nome of Lower Egypt)),C
NL2,kEH_JSesh,13221,U+13221,NL002,NL2,F-19-029,"The thigh of a bovid (ox), on top of a standard used for the carrying of religious symbols (R12) on top of a parcel of land with irrigation ditches (N24).",Logogram (2nd nome of Lower Egypt),C
NL3,kEH_JSesh,13222,U+13222,NL003,NL3,G-12-156,"A feather (H6), in front of a falcon (G5), on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (West, 3rd nome of Lower Egypt)",C
NL4,kEH_JSesh,13223,U+13223,NL004,NL4,T-07-037,"A shield with a rounded top, with two arrows crossed over it, fletching upwards (T62) in front of a sedge written on top of a mouth (M24); on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (Neith-South, 4th nome of Lower Egypt)",C
NL5,kEH_JSesh,13224,U+13224,NL005,NL5,T-07-035,"A shield with a rounded top, with two arrows crossed over it, fletching upwards (T62), in front of a clump of three papyrus flowers, with two buds bent down (M15); on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (Neith-North, 5th nome of Lower Egypt)",C
NL5A,kEH_JSesh,13225,U+13225,NL005A,NL5A,T-07-036,"A shield with a rounded top, with two arrows crossed over it, fletching upwards (T62) in front of a whip with a loop at the front (V23A) on top of a half round loaf of bread (X1); on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (Neith-North, 5th nome of Lower Egypt)",C
NL6,kEH_JSesh,13226,U+13226,NL006,NL6,E-23-048,"A sand covered mountain over the edge of the cultivated areas (N26), in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12) on top of a parcel of land with irrigation ditches (N24).",Logogram (6th nome of Lower Egypt),C
NL7,kEH_JSesh,13227,U+13227,NL007,NL7,T-13-071,"An one-barbed harpoon, with handle, written horizontally (T21), on top of a crescent moon shape, connected by three lines, in front of a feather (H6), angled forwards on top of a standard with a round top, with an short vertical line beside the main pole (R14); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (7th nome of Lower Egypt),C
NL8,kEH_JSesh,13228,U+13228,NL008,NL8,T-13-072,"An one-barbed harpoon, with handle, written horizontally (T21), on top of a crescent moon shape, connected by three lines, in front of a spear made into a standard, with a circle on either side of the spear tip, with a loop over the standard (Jsesh/Gardiner R15); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (8th nome of Lower Egypt),C
NL9,kEH_JSesh,13229,U+13229,NL009,NL9,C-32-014,"Man/god, standing, with a double plume/feather headdress, right arm forward, hand at the height of the shoulder, holding a crook (S38) of the size of the man, left arm hanging beside the body, holding a flagellum (S45) horizontally; on top of a standard used for the carrying of religious symbols (R12) on top of a parcel of land with irrigation ditches (N24).",Logogram (9th nome of Lower Egypt),C
NL10,kEH_JSesh,1322A,U+1322A,NL010,NL10,E-23-049,"A piece of crocodile skin with horizontal spines, or tail of a crocodile (I6), in front of a bovid (bull), standing; on top of a standard used for the carrying of religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).",Logogram (10th nome of Lower Egypt),C
NL11,kEH_JSesh,1322B,U+1322B,NL011,NL11,E-23-050,"A pustule or gland, or a packet of mummy bandages (Aa2), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).",Logogram (11th nome of Lower Egypt),C
NL12,kEH_JSesh,1322C,U+1322C,NL012,NL12,E-23-051,"A newborn bubalis antelope, lying down, legs folded beneath the body, long tail downwards (E9), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).",Logogram (12th nome of Lower Egypt),C
NL13,kEH_JSesh,1322D,U+1322D,NL013,NL13,N-11-044,"A double forked tool for the mending of nets, with a broad middle section (V26), written vertically, in front of a crook (S38); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (13th nome of Lower Egypt),C
NL14,kEH_JSesh,1322E,U+1322E,NL014,NL14,N-11-036,"A schematic representation of three sealed water pots in a rack, without horizontal line at the bottom, with the downward lines descending to the bottom (W017A), in front of a spear made into a standard, with a circle on either side of the spear tip, with a loop over the standard (Jsesh R15); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (14th nome of Upper Egypt),C
NL15,kEH_JSesh,1322F,U+1322F,NL015,NL15,G-11-107,"An African sacred ibis (Threskiornis aethiopicus) (G26A), on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (Thot nome, 15th nome of Lower Egypt)",C
NL16,kEH_JSesh,13230,U+13230,NL016,NL16,K-01-034,"A fish, with its tail orientated downwards (K4A), on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).",Logogram (First-of-fishes nome (16th nome of Lower Egypt)),C
NL17,kEH_JSesh,13231,U+13231,NL017,NL17,N-11-045,"A tusk of an elephant (F18), above a human hand (D46); above a half round loaf of bread (X1) beside a plan of a crossroads in a village (O49); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).","Logogram (Behdet, 17th nome of Lower Egypt)",C
NL17A,kEH_JSesh,13232,U+13232,NL017A,NL17A,N-11-046,"A windpipe and lungs (F36), in front of a cluster of signs consisting of a tusk of an elephant (F18), above a human hand (D46); above a half round loaf of bread (X1) beside a plan of a crossroads in a village (O49); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (17th nome of Lower Egypt (Diospolis)),C
NL18,kEH_JSesh,13233,U+13233,NL018,NL18,N-11-038,,,C
NL19,kEH_JSesh,13234,U+13234,NL019,NL19,N-11-039,,,C
NL20,kEH_JSesh,13235,U+13235,NL020,NL20,G-12-157,,,C
NU1,kEH_JSesh,13236,U+13236,NU001,NU1,N-11-047,"A strip of land (N17), above a cluster of signs consisting of a bow, of an archaic type (Aa23), in front of a half round loaf of bread (X1), over a strip of land (N17); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).","Logogram (Nubia, 1st nome of Upper Egypt)",C
NU2,kEH_JSesh,13237,U+13237,NU002,NU2,G-12-153,"The pole of a balance, with the crossbar resembling a feather (H6), written horizontally (U39D), in front of a falcon (G5); on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (Throne of Horus (Edfu, 2nd nome of Upper Egypt))",C
NU3,kEH_JSesh,13238,U+13238,NU003,NU3,S-09-044,"Two feathers (H6), orientated outwards, on top of a plan of a prehistoric building at the town of Nekhen, written as a circle / A circle with two vertical strokes, arranged horizontally, written within it (O48); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (3rd nome of Upper Egypt),C
NU4,kEH_JSesh,13239,U+13239,NU004,NU4,R-16-004,"A sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40), with a fillet and a backwards angled feather (H6) on top of the staff (R19); on top of a standard used for carrying religious symbols (R12), written on top of a parcel of land with irrigation ditches (N24).",Logogram (Thebes),C
NU5,kEH_JSesh,1323A,U+1323A,NU005,NU5,G-12-154,"Two falcons (G5), arranged horizontally, on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (The two gods, 5th nome of Upper Egypt)",C
NU6,kEH_JSesh,1323B,U+1323B,NU006,NU6,I-03-017,"A Nile crocodile (Crocodylus niloticus), with a feather (H6), angled backwards, on its head; on top of a standard used for carrying religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (Iqer, 6th nome of Upper Egypt)",C
